parent_code,name,code
14,晋中市,1407
14,运城市,1408
14,忻州市,1409
14,临汾市,1410
14,吕梁市,1411
21,沈阳市,2101
21,大连市,2102
21,鞍山市,2103
21,抚顺市,2104
21,本溪市,2105
21,丹东市,2106
21,锦州市,2107
21,营口市,2108
21,阜新市,2109
21,辽阳市,2110
21,盘锦市,2111
21,铁岭市,2112
21,朝阳市,2113
21,葫芦岛市,2114
23,哈尔滨市,2301
23,齐齐哈尔市,2302
23,鸡西市,2303
23,鹤岗市,2304
23,双鸭山市,2305
23,大庆市,2306
23,伊春市,2307
23,佳木斯市,2308
23,七台河市,2309
23,牡丹江市,2310
23,黑河市,2311
23,绥化市,2312
23,大兴安岭地区,2327
32,南京市,3201
32,无锡市,3202
32,徐州市,3203
32,常州市,3204
32,苏州市,3205
32,南通市,3206
32,连云港市,3207
32,淮安市,3208
32,盐城市,3209
32,扬州市,3210
32,镇江市,3211
32,泰州市,3212
32,宿迁市,3213
34,合肥市,3401
34,芜湖市,3402
34,蚌埠市,3403
34,淮南市,3404
34,马鞍山市,3405
34,淮北市,3406
34,铜陵市,3407
34,安庆市,3408
34,黄山市,3410
34,滁州市,3411
34,阜阳市,3412
34,宿州市,3413
34,六安市,3415
34,亳州市,3416
34,池州市,3417
34,宣城市,3418
36,南昌市,3601
36,景德镇市,3602
36,萍乡市,3603
36,九江市,3604
36,新余市,3605
36,鹰潭市,3606
36,赣州市,3607
36,吉安市,3608
36,宜春市,3609
36,抚州市,3610
36,上饶市,3611
41,郑州市,4101
41,开封市,4102
41,洛阳市,4103
41,平顶山市,4104
41,安阳市,4105
41,鹤壁市,4106
41,新乡市,4107
41,焦作市,4108
41,濮阳市,4109
41,许昌市,4110
41,漯河市,4111
41,三门峡市,4112
41,南阳市,4113
41,商丘市,4114
41,信阳市,4115
41,周口市,4116
41,驻马店市,4117
41,济源市,4190
43,长沙市,4301
43,株洲市,4302
43,湘潭市,4303
43,衡阳市,4304
43,邵阳市,4305
43,岳阳市,4306
43,常德市,4307
43,张家界市,4308
43,益阳市,4309
43,郴州市,4310
43,永州市,4311
43,怀化市,4312
43,娄底市,4313
43,湘西土家族苗族自治州,4331
45,南宁市,4501
45,柳州市,4502
45,桂林市,4503
45,梧州市,4504
45,北海市,4505
45,防城港市,4506
45,钦州市,4507
45,贵港市,4508
45,玉林市,4509
45,百色市,4510
45,贺州市,4511
45,河池市,4512
45,来宾市,4513
45,崇左市,4514
50,重庆市,5001
50,重庆市,5002
52,贵阳市,5201
52,六盘水市,5202
52,遵义市,5203
52,安顺市,5204
52,毕节市,5205
52,铜仁市,5206
52,黔西南布依族苗族自治州,5223
52,黔东南苗族侗族自治州,5226
52,黔南布依族苗族自治州,5227
54,拉萨市,5401
54,日喀则市,5402
54,昌都市,5403
54,林芝市,5404
54,山南市,5405
54,那曲地区,5424
54,阿里地区,5425
62,兰州市,6201
62,嘉峪关市,6202
62,金昌市,6203
62,白银市,6204
62,天水市,6205
62,武威市,6206
62,张掖市,6207
62,平凉市,6208
62,酒泉市,6209
62,庆阳市,6210
62,定西市,6211
62,陇南市,6212
62,临夏回族自治州,6229
62,甘南藏族自治州,6230
64,银川市,6401
64,石嘴山市,6402
64,吴忠市,6403
64,固原市,6404
64,中卫市,6405
44,东莞市,4419
44,中山市,4420
46,儋州市,4604
